	AM-AD-1	AM-AD-2	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-1T	DA-AD-2	DA-AD-3	DA-AD-3T	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9	JP-IN-1	JP-IN-2	JP-IN-3	JP-IN-4
Unclassified	0.42650351	0.33226194	0.48195467	0.38858308	0.53360402	0.62499134	0.634708	0.77980981	0.80526766	0.76409898	0.25166833	0.42712689	0.39126977	0.54793011	0.55142206	0.58294733	0.43972306	0.51493838	0.53477659	0.52810766	0.47944266	0.4619468	0.42361617	0.4887351	0.44199058	0.3581634	0.62080827	0.55810012	0.29351697	0.52700195	0.53048339	0.38604492	0.58345103	0.32948505	0.19526355	0.36281206	0.38732586	0.57703516	0.07864845	0.10810843	0.46189138
Bacteria	0	0	0	0	0	0	0.00001328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prosthecochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003015	0	0	0	0	0	0	0	0	0	0
Chloroflexus	0	0	0	0	0	0.00000081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dehalococcoides	0	0.00026835	0.00000959	0	0	0	0.0000203	0	0	0.00008728	0.00004637	0	0	0.00006032	0	0	0.00004266	0.00005681	0.00003315	0.00003614	0	0.00003769	0.00113611	0	0.00003959	0	0	0.00011117	0	0	0.00011227	0	0	0	0	0	0	0	0	0	0
Thermus	0	0	0	0.00000424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Listeria	0	0	0	0	0	0	0	0	0.00000243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003534	0	0
Fusobacterium	0	0.00001508	0	0	0	0.00003181	0.00000852	0	0.0000058	0	0	0	0	0.00002181	0	0	0.00003662	0.00004468	0	0.00001551	0	0	0	0	0	0.00004409	0	0	0	0.00004689	0	0.00005281	0.00005002	0.00011665	0.00623069	0.00002512	0	0	0	0.00005202	0
Streptobacillus	0	0	0	0.00000471	0	0	0	0.00005138	0.00005987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000035	0	0	0	0.00002841	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacillus	0	0	0	0	0	0.00000067	0.00000237	0	0.00000246	0	0	0	0	0	0	0	0	0.00000884	0	0	0	0	0	0.00000956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Acidobacteria	0	0	0	0	0	0	0	0	0.00000161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus	0	0	0.00000392	0	0.00000552	0.00000499	0	0.00000559	0.00000185	0.00000397	0	0	0	0.00000207	0.00001469	0.00001593	0.0000088	0.00004508	0	0	0.00000772	0	0	0	0	0	0	0.00001068	0	0	0	0	0.00001192	0	0	0	0	0	0	0	0
Bartonella	0	0	0	0	0.00003268	0.00000537	0	0	0	0.00003945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beijerinckia	0	0	0	0	0	0	0	0	0	0.00000684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001037	0	0.00003624	0	0.00002089	0	0.00002373	0	0	0	0	0	0
Brucella	0	0	0	0	0	0	0	0	0	0.00003322	0	0	0.00000898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium	0	0	0	0	0	0	0.00000491	0	0.00000164	0	0	0	0	0	0	0.00000934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001357	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	0	0	0	0	0	0.00000121	0	0	0	0	0	0	0	0.0000042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium	0	0	0	0	0	0.00000179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvibaculum	0	0	0	0	0	0.00000054	0	0	0	0	0	0	0.00000759	0.00000755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000208
Gluconacetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002203	0	0	0	0	0	0	0	0
Granulibacter	0	0	0	0	0	0	0	0	0	0.00001579	0	0.00003226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella	0	0.00004171	0.00000745	0	0	0	0	0	0.00000351	0	0	0.0000154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	0	0	0	0	0	0.00000064	0	0	0	0.00002583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macrococcus	0	0	0	0.00000373	0	0	0	0	0	0.00001356	0	0	0	0	0	0	0	0	0	0.00002526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetospirillum	0	0	0	0	0	0.00000299	0	0	0	0.00002678	0	0	0	0	0	0.00002285	0	0	0	0	0	0.00001115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodospirillum	0	0	0	0	0.00000646	0.00000342	0	0	0	0.0000262	0	0.00000669	0.00002504	0	0	0.00001303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0.00003033	0	0.00002262	0.00000785	0	0.00000629	0	0	0.00000494	0	0	0	0	0	0	0	0	0	0	0	0	0.00007242	0.00001054	0.00000722	0	0	0	0	0.00005576	0.00001444	0	0	0.00030332	0	0	0	0	0.0005199	0.00005072	0.00016138	0.00047294
Rickettsia	0	0	0	0	0	0.00000382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelagibacter	0.0000654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrobacter	0	0	0	0	0	0	0	0	0	0	0	0.00000954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium	0	0	0	0	0	0.00000202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	0	0	0	0.00000104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000134	0	0.00000696	0	0	0.00004287	0	0	0	0	0.00007744
Bordetella	0	0	0	0.00000356	0.00002744	0.00000626	0	0.00001212	0.00000578	0.00001294	0.00002862	0.00001242	0.00001792	0.00001157	0	0.00001299	0.00001581	0.00001275	0	0	0.00001679	0	0	0	0	0	0.00001036	0.00001237	0.00001541	0	0	0.0000171	0	0	0.0000428	0	0	0	0	0	0.00006654
Burkholderia	0	0	0	0.0000009	0.00001708	0.00000202	0	0.00000664	0.00000673	0.00001697	0.00002583	0.00000496	0.00000804	0.00000365	0.00000607	0.00003918	0.00000734	0.00000901	0	0.00001049	0.00002886	0.00001077	0	0.0000088	0.00001155	0	0	0.00000663	0.00000544	0.00000925	0.00004766	0	0.00000494	0.00001907	0	0	0	0.00004403	0	0	0.00000637
Cupriavidus	0	0	0	0	0	0.00000575	0	0	0.00000112	0	0	0.00000474	0	0.00000392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000525	0	0	0	0	0	0	0	0.00001032	0	0.00003438
Polynucleobacter	0	0	0	0	0	0.00000197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia	0	0	0	0	0	0.00000083	0	0	0	0.00001023	0.00000228	0.00000586	0	0.00000198	0.00000352	0	0	0	0	0.00000356	0	0	0	0.00000807	0	0	0	0	0.000019	0.00001615	0	0	0	0	0.0000206	0	0	0.00004686	0	0	0.00005149
Acidovorax	0	0	0.00000263	0	0	0.00000079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000533	0	0	0	0	0	0	0	0.00003562
Comamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030015	0	0	0	0	0	0	0	0
Delftia	0	0	0	0	0	0.00000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013287	0	0.00001596	0.00001299	0	0	0	0	0.00001056
Diaphorobacter	0	0	0.00000317	0	0.00000549	0.00000207	0	0	0	0.00000696	0	0.00000767	0	0	0.00000692	0	0	0.00001466	0	0	0	0	0	0	0.00000766	0	0	0	0	0	0	0.00001588	0.00009755	0	0	0	0.00001208	0	0	0	0
Polaromonas	0	0	0	0	0	0.00000096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax	0	0	0	0	0	0.0000018	0	0	0.0000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax	0	0	0	0	0	0	0	0	0.00000049	0	0	0	0	0	0	0.0000042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000739	0	0	0	0	0	0	0
Verminephrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herminiimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxalobacter	0	0.00001572	0.00003369	0.00001561	0.00001158	0.00000734	0.00026468	0.00009112	0.00004635	0.00013443	0.00002082	0.00003772	0.00004225	0.00002159	0.00006282	0.00008513	0.00005622	0.00004437	0.00009708	0.00007407	0.00003314	0.00000552	0.00011674	0.00009197	0.00004251	0.00001102	0.00002183	0.0001598	0.00007528	0.00009597	0.00007123	0.00001201	0	0.00001326	0.00010764	0	0.00003657	0	0	0.00001273	0
Leptothrix	0	0	0	0	0.00000115	0.00000389	0	0	0	0.00000968	0	0.00000198	0.00000606	0	0.00000535	0.00005817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003683	0	0.00002034	0	0	0	0	0	0	0
Methylibium	0	0	0	0	0	0.00000088	0	0	0	0	0.00000211	0	0	0.00001705	0	0.00000468	0	0.00001376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas	0	0	0	0	0	0.00000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiobacillus	0	0	0	0	0	0	0	0	0.0000114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003713	0	0	0	0	0	0
Methylobacillus	0	0	0	0	0	0	0	0	0.00000223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000925	0	0.00002882	0	0	0	0	0.00005039	0	0	0
Unclassified Neisseriaceae	0	0	0	0	0	0.00000196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012616	0	0	0	0	0	0	0	0	0	0	0.00002299	0	0	0
Chromobacterium	0	0	0	0	0	0.00000268	0	0.00000599	0.00000279	0	0	0.00000123	0.00000834	0	0.00000553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Laribacter	0	0	0	0	0	0	0	0.00000898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0.00002094	0	0	0.00006518	0.00002752	0.00000208	0	0	0.00000325	0.00001395	0	0	0	0	0	0	0	0	0	0.00002599	0	0	0	0	0	0	0	0	0	0	0.00004037	0	0.00004191	0	0	0	0	0	0	0	0
Neisseria	0	0	0.00000376	0	0	0.00000299	0	0	0	0.00004796	0.0000091	0	0	0	0	0.000011	0	0	0	0	0.00002961	0	0	0	0	0	0	0.00004259	0	0	0	0	0	0	0	0	0	0.00003871	0	0	0
Simonsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002257	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00004854	0	0.00001841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016755	0	0
Nitrosomonas	0	0	0	0.00000196	0	0	0	0	0	0	0.00000854	0	0	0	0	0	0	0	0	0	0	0	0	0.00009201	0	0	0.00017774	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosospira	0	0	0	0	0	0	0	0	0.00000208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0.00000291	0	0	0.00000154	0	0	0	0.00000679	0	0	0.00001297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thauera	0	0	0	0	0	0.00000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002166	0	0	0	0.00026334	0	0	0	0	0	0.00001785	0	0	0.0000127	0	0	0.00000978	0	0.00009621	0	0	0
Desulfotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio	0	0	0	0.00000658	0.0031502	0.00080233	0.00400686	0.00021633	0.00004392	0.00801665	0.00008171	0.0027444	0.00009208	0.00008126	0.00021852	0.00326499	0.00332383	0.00005824	0.00598123	0.00270433	0.00018837	0.00476842	0.01611312	0.000042	0.00003095	0.00028364	0.00018181	0.00435918	0.00034148	0.00071886	0.00044932	0.00739444	0.00009165	0.00018817	0.0000376	0.00001231	0.00007301	0	0	0	0.00009973
Lawsonia	0.00008809	0.00005412	0.000029	0.000043	0	0.00000583	0.0000307	0	0	0.00003911	0.00002338	0.00001998	0.00008498	0.00006082	0.00003605	0	0	0.00003819	0.00008356	0	0.00013313	0.000057	0.00010049	0	0	0	0	0	0.000162	0	0.0001698	0	0	0.0000685	0	0.00006033	0.00006295	0	0	0	0
Pelobacter	0	0	0	0.00000214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacter	0	0	0	0	0	0.00000111	0	0.00001821	0.00000129	0	0	0	0	0	0	0	0	0	0.00000694	0.00001034	0	0	0	0	0	0.00001076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromyxobacter	0	0	0	0	0	0.00000169	0	0	0.00000063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syntrophus	0	0	0	0	0.00000884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	0.00002198	0.00012153	0.00000724	0.00001227	0	0.00000218	0	0	0.00000341	0	0.0000175	0.00001533	0.00000763	0.00001518	0	0	0.0000322	0	0	0.00010944	0	0.00002845	0	0	0.00005976	0.00008518	0.00014068	0	0	0	0	0	0	0	0	0	0	0	0	0.00001094	0.00021375
Campylobacter	0	0	0.00000865	0.00000477	0.00001247	0.00000455	0	0	0.00002714	0	0.00001991	0	0	0	0	0.00003316	0	0	0	0.00005458	0.00002702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter	0	0	0.00656255	0.00016346	0	0.0000026	0	0	0.00000812	0	0	0	0	0.00001809	0	0	0	0	0	0	0	0.00003391	0	0.00002543	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000738	0	0	0
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000409	0	0	0	0	0	0	0	0	0	0	0	0	0.00001052	0	0	0
Tolumonas	0	0	0	0	0	0	0	0	0.00000191	0.00001642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idiomarina	0	0	0	0	0	0	0	0.00001003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella	0	0	0	0	0	0	0	0	0	0	0.00000366	0	0	0	0	0	0	0	0	0.00003295	0	0.00001286	0	0.00007534	0	0	0	0	0	0	0.00003218	0.00001763	0	0	0	0	0	0.00016873	0	0	0
Cardiobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002073	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	0.00605774	0.000493	0.00007221	0.00361745	0.00009719	0.0000614	0.00004103	0.00012505	0.00008555	0.00010678	0.00242827	0.00004249	0.00060557	0.00090945	0.00016616	0.00028561	0.00130696	0.00030653	0.00012083	0.01858714	0.00037467	0.00040599	0.00113673	0.00007629	0.00008879	0.00005253	0.00165846	0.00007738	0.00052874	0.00002543	0.00116993	0.00001772	0.00016095	0.00008273	0.0000859	0.00027512	0.00025397	0.00031637	0.01731977	0.03372868	0.00863725
Thioalkalivibrio	0	0	0.00000407	0	0	0	0	0	0.00000096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Enterobacteriaceae	0	0	0	0.00000913	0	0	0.00001038	0	0.00000138	0	0	0	0	0.00000411	0	0	0	0.00000295	0	0.00001593	0	0	0.00004977	0.00030093	0.00024722	0	0.00000381	0	0.00003833	0.00014257	0.00082315	0.00014941	0.00000554	0.00006636	0	0	0.0000178	0.02004082	0.00000647	0	0.00271904
Citrobacter	0	0	0	0.00000306	0	0	0	0	0	0	0	0	0	0.00000577	0	0	0	0	0	0.00026683	0	0	0.00002286	0.00050493	0.00016392	0	0.00000267	0	0.00003686	0.00112185	0.00360996	0.00097248	0.00136463	0.00036342	0	0	0.00003507	0.07952276	0.0000159	0	0.01709634
Cronobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001702	0	0	0	0.00015045	0.00001993	0	0.00000314	0	0	0	0.00005652	0	0	0	0	0	0	0.00110056	0	0	0.00007265
Dickeya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002499	0.00002415	0	0	0	0	0	0.00002594	0	0	0	0	0	0	0.00014041	0	0	0
Edwardsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00006783	0	0	0	0.00007205	0.00001526	0	0	0	0	0	0.00003305	0	0	0	0.00001437	0	0	0.00075339	0	0	0.00002535
Enterobacter	0	0	0	0	0	0	0	0.00001696	0.00000395	0	0	0	0	0.00002408	0.00000535	0	0	0	0	0.0000334	0	0	0.00000551	0.00123648	0.00038427	0.0000104	0.00002577	0.00001025	0	0.00110551	0.00143472	0.00017539	0.00013411	0.00003033	0	0	0	0.02294262	0.0000194	0	0.00049146
Erwinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000775	0.00001019	0	0	0	0	0	0.00002124	0.00002328	0	0	0	0	0	0.0003719	0	0	0
Escherichia/Shigella	0.00011009	0.0000829	0.00014152	0.00123483	0.00004405	0.00002694	0.00212751	0.00250316	0.00120034	0.00000624	0.00091207	0.00004538	0.00002784	0.00009076	0.00030038	0.0004542	0	0.00590702	0.00006469	0.00040554	0.00029503	0.0015657	0.01652006	0.03500444	0.00287044	0.00030524	0.0203329	0.00139779	0.00104637	0.01705974	0.00249338	0.00127593	0.00096908	0.0029443	0.00031351	0.00011033	0.00825083	0.05220009	0.00183129	0.00019246	0.28597625
Klebsiella	0	0	0	0	0	0	0.0000219	0	0.00000122	0	0	0	0	0	0.00000931	0	0	0.00000596	0	0.00006153	0	0.00000327	0.00000806	0.16508034	0.00457223	0	0.00001653	0.00000996	0.00080747	0.0006901	0.00932524	0.00118663	0.00010602	0.00032713	0	0	0	0.2173226	0.00005086	0.00025213	0.004155
Lactobacillus	0.00383395	0.00152296	0.00036833	0.00016338	0.00026047	0.00035285	0.00006486	0.00010554	0.00009079	0.00073073	0.00000961	0.00001352	0.0000413	0.00019559	0.00009738	0.00003504	0.00003878	0.00019907	0.00002261	0.01057079	0.00016387	0.00014537	0.00004602	0.00122088	0.00002695	0.00699451	0.00066765	0.00021884	0.00008964	0.0001024	0	0.00002936	0.00008681	0.0000309	0	0.00012231	0.00054158	0	0.00054413	0.00012682	0.00108848
Pantoea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000062	0	0	0	0	0	0	0	0	0	0	0	0.00007826	0.0001724	0	0	0
Pectobacterium	0	0	0	0	0	0	0	0.00000187	0	0	0	0	0	0	0.00002594	0	0	0	0	0.00003671	0	0	0	0	0.00000574	0	0.00001442	0	0	0	0.00004073	0	0	0	0.00002134	0	0	0.00077774	0	0	0.00002823
Photorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00007343	0	0	0
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001293	0	0	0	0	0.00001307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Providencia	0	0	0	0	0	0.00000089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001798	0	0	0	0	0.00039148	0	0.00001341	0
Salmonella	0	0	0	0.00000327	0	0	0.00000207	0.00000291	0	0.00000599	0	0.00000607	0	0	0	0	0	0.00001153	0	0.00004505	0	0.0000077	0.00002355	0.00021507	0.00010504	0	0.00003878	0.00000223	0	0.00002517	0.00039815	0.00007825	0	0.00004142	0.00001179	0	0	0.00876306	0	0	0.00049657
Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000148	0	0	0	0	0.00010965	0	0	0	0	0	0	0	0	0	0.00001473	0.00002837	0	0	0.0000278	0.00006187	0.00004842	0	0.0005843	0.0000058	0	0.00030071
Sodalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00008775	0	0	0
Pediococcus	0	0	0	0	0	0	0	0	0.00000362	0	0	0	0	0	0	0	0	0	0	0.00020288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002306	0	0	0	0	0	0	0	0	0	0	0	0.00000651	0.0000107	0	0	0	0	0	0	0	0	0
Yersinia	0	0	0	0.00000174	0	0	0	0	0	0.00000601	0	0	0	0	0.00000569	0	0	0.00001206	0	0.00004909	0	0	0	0.0003246	0	0	0.00000994	0	0.0000067	0	0.00001504	0	0	0	0	0	0	0.00147396	0	0	0.00007922
